นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0105559038767,บจ.เอ็มเจอาร์ไอ (ประเทศไทย) จำกัด,4/3/2559," 1,313,580,000 ",64202,เป็นผู้ถือหุ้นในบริษัทจำกัด,170/57 อาคารโอเชี่ยน ทาวเวอร์ 1 ชั้นที่ 18 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
2,0105559053723,บจ.แอสเซนด์ มันนี่ จำกัด,29/3/2559," 605,459,800 ",66121,ให้บริการบัตรเงินอิเล็กทรอนิกส์ ตัวแทนในการชำระค่าสินค่าหรือบริการ นำเงินซื้อพันธบัตร ตั๋วเงินคลัง,"89 อาคารเอไอเอ แคปปิตอล เซ็นเตอร์ ชั้นที่ 18-19,32 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400"
3,0105559038058,บจ.อินโนวิชั่น โฮลดิ้ง จำกัด,4/3/2559," 300,000,000 ",64202,ประกอบกิจการเข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดเป็นผู้ถือหุ้นในบริษัทจำกัดบริษัทมหาชน,184/2 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
4,0105559052662,บจ.ทีซีซี เอ็นเนอร์ยี่ จำกัด,28/3/2559," 300,000,000 ",08999,ประกอบกิจการทำเหมือนแร่ แต่งแร่ ถลุงแร่ รวมทั้งถ่านหินทุกชนิด ทั้งในและต่างประเทศ,87/2 อาคารซีอาร์ซี ทาวเวอร์ ชั้นที่ 45 ออลซีซั่นส์เพลส ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
5,0107559000079,บมจ.บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน),21/3/2559," 200,000,000 ",46441,ค้า ผลิตเครื่องมือเครื่องใช้แพทย์ เครื่องมือวิทยาศาสตร์การแพทย์ ยารักษาโรค,92/45 อาคารสาธรธานี2 ชั้นที่ 16 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
6,0105559052671,บจ.เอสเอสยูพี โฮลดิ้งส์ จำกัด,28/3/2559," 153,000,000 ",64202,กิจกรรมของบริษัทโฮลดิ้งที่ไม่ได้ลงทุนในธุรกิจเงินเป็นหลัก,89/1 ซอยรัชฏภัณฑ์ ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
7,0105559041199,บจ.โสมนัส โฮลดิ้ง จำกัด,9/3/2559," 151,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด  หุ้นส่วนไม่จำกัดความรับผิดในห้างหุ้นส่วน,3 อาคารรัจนาการ ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
8,0107559000117,บมจ.เทคโนเมดิคัล จำกัด (มหาชน),30/3/2559," 140,000,000 ",21001,ประกอบกิจการและผลิตยา รักษาโรค เภสัชภัณฑ์ เครื่องมือแพทย์ เครื่องมือเครื่องใช้ทางวิทยาศาสตร์,29 ซอยลาดพร้าว 92  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
9,0105559045186,บจ.เอ็ม.พี. แอนด์ ซัน (2016) จำกัด,16/3/2559," 110,000,000 ",68102,ประกอบกิจกรรมกับอสังหาริมทรัพย์,286 ถนนดำรงรักษ์  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
10,0105559044651,บจ.ออลล์ ดิสเคาท์ จำกัด,15/3/2559," 100,000,000 ",47112,ประกอบกิจการร้านจำหน่ายสินค้า ศูนย์จำหน่ายสินค้า ศูนย์การค้า และห้างสรรพสินค้าทุกประเภท,593-593/1 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
11,0105559037507,บจ.เมโทร พร๊อพเพอร์ตี้ แอนด์ โฮลดิ้ง จำกัด,3/3/2559," 100,000,000 ",68102,ประกอบกิจการขายและให้เช่าอพาร์ทเม้นท์ คลังสินค้า อาคารสิ่งปลูกสร้าง,2/105 อาคารทศพลแลนด์ 4 ชั้น 20 ซอยบางนา-ตราด 25  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
12,0105559042691,บจ.ไทยธาดา พรีเมียม คาร์ จำกัด,11/3/2559," 100,000,000 ",45101,ประกอบกิจการค้ารถยนต์,37/9 ซอยหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
13,0105559038252,บจ.พัฒนสิริ เอสเตท จำกัด,4/3/2559," 100,000,000 ",68102,พัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
14,0105559046417,บจ.ตาดี เอ็นจีเนียริ่ง คอนสตรัคชั่น กรุ๊ป (อินเตอร์เนชั่นแนล) จำกัด,17/3/2559," 100,000,000 ",41002,รับเหมาก่อสร้าง ออกแบบ เปลี่ยนแปลง แก้ไข โครงสร้าง,491/13 สีลมพลาซ่า ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
15,0105559049068,บจ.ไพร์ม สเปซ ดีเวลลอปเม้นท์ จำกัด,22/3/2559," 80,000,000 ",68104,ประกอบกิจการ ให้เช่าอสังหาริมทรัพย์ อาคารพาณิชย์ ห้องพักอาศัย ให้บริการภายในอาคาร ห้องพักที่ให้เช่า,98 ตรอกไกร ถนนราชวงศ์  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
16,0107559000109,บมจ.อาฟเตอร์ ยู จำกัด (มหาชน),28/3/2559," 80,000,000 ",10711,ประกอบกิจการผลิตเบเกอรี่ อาหาร เครื่องดื่ม,"324,326 ซอยพัฒนาการ 30  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250"
