นิติบุคคลจัดตั้งเดือนเมษายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0107559000141,บมจ.มัดแมน จำกัด (มหาชน),19/4/2559," 1,054,903,750 ",82301,ประกอบกิจการจัดอบรมหลกสูตรการเรียนการสอนเกี่ยวกับการทำอาหาร การจัดร้านอาหาร การออกแบบเสื้อผ้า แฟชั่น,209/1 อาคารเค ทาวเวอร์ บี ชั้นที่ 25 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
2,0107559000168,บมจ.ไอร่า พร็อพเพอร์ตี้ จำกัด (มหาชน),22/4/2559," 500,000,000 ",68101,ประกอบธุรกิจอสังหาริมทรัพย์ รวมถือกรรมสิทธิ์เป็นเจ้าของร่วมซึ่งอาคาร บ้านจัดสรร อาคารชุด แฟต โรงแรม,319 อาคารจตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
3,0107559000133,บมจ.สยาม โซล่า เพาเวอร์ จำกัด (มหาชน),18/4/2559," 400,000,000 ",35101,ประกอบธุรกิจผลิตกระแสไฟฟ้าจากพลังงานหมุนเวียนทุกประเภท,65/188 อาคารชำนาญ เพ็ญชาติ บิสเนสเซ็นเตอร์ ชั้นที่ 22 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
4,0105559058679,บจ.สตาร์โปร ซันวา อยุธยา โมดิฟาย สตาร์ช จำกัด,7/4/2559," 360,000,000 ",10622,ประกอบกิจการโรงงานอุตสาหกรรม แป้งมันสำปะหลัง,216/59 อาคารแอล พี เอ็น ทาวเวอร์ ชั้นที่ 14 ถนนนางลิ้นจี่  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
5,0105559060282,บจ.บลู แอนด์ ไวท์ โลจิสติกส์  จำกัด,11/4/2559," 279,000,000 ",49339,ประกอบกิจการ บริการขนส่งสินค้าทางถนนภายในประเทศ,48 ซอยเจริญนคร 17 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
6,0107559000150,บมจ.ดิทโต้ (ประเทศไทย) จำกัด (มหาชน),20/4/2559," 200,000,000 ",46594,ประกอบกิจการจำหน่าย ให้เช่า ให้ซื้อ เครื่องถ่ายเอกสาร เครื่องแฟล็กซ์ เครื่องใช้สำนักงานทุกชนิด,235/1-3 ถนนราษฎร์พัฒนา  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,,
7,0105559066981,บจ.จีเอ็นซี กรุ๊ป จำกัด,27/4/2559," 200,000,000 ",68101,ให้บริการซื้อ-ขาย เป็นนายหน้าที่ดิน บ้านจัดสรร รวมถึง สังหาริมทรัพย์และอสังหาริมทรัพย์ ทุกประเภท,308 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
8,0107559000176,บมจ.วินท์คอม เทคโนโลยี จำกัด (มหาชน),29/4/2559," 140,000,000 ",46510,ประกอบกิจการขายอุปกรณ์ระบบเครือข่ายคอมพิวเตอร์,159/21 อาคารเสริมมิตร ทาวเวอร์ ชั้นที่ 14 ห้องเลขที่ 1401 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
9,0105559056129,บจ.ยามาเซ่น (ประเทศไทย) จำกัด,1/4/2559," 118,000,000 ",70103,ประกอบกิจการให้บริการสนับสนุนแก่สาขาหรือบริษัทในเครือของตนไม่ว่าตั้งในประเทศหรือต่างประเทศ,1230 และ 1230/1 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
10,0105559059730,บจ.ซิทต้า โฮเต็ล จำกัด,8/4/2559," 100,000,000 ",55101,ประกอบกิจการธุรกิจโรงแรม,697/1 ซอยสุขุมวิท 50  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
