นิติบุคคลจัดตั้งเดือนมิถุนายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0105559095949,บจ.บัวหลวงเวนเจอร์ส จำกัด,22/6/2559," 2,000,000,000 ",64202,ประกอบธุรกิจ เข้าเป็นผู้ถือหุ้นในบริษัทจำกัดหรือบริษัทมหาชน หรือร่วมทุนในห้างหุ้นส่วนจำกัด,333 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
2,0107559000338,บมจ.เชาว์ เอ็นเนอร์ยี่ จำกัด (มหาชน),23/6/2559," 760,000,000 ",46622,ประกอบกิจการค้า จำหน่ายเหล็กแท่ง ทั้งในประเทศและต่างประเทศ,209/1 อาคารเคเคพี ทาวเวอร์ ชั้นที่ 18 ห้องเลขที่ ยูนิต 3 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
3,0107559000320,บมจ.ไฟเบอร์วัน จำกัด (มหาชน),21/6/2559," 350,000,000 ",46432,ประกอบกิจการเพื่อซื้อขาย จำหน่ายผลิตภัณฑ์ รายการทางโทรทัศน์ ภาพยนตร์,89 อาคารเอไอเอ แคปปิตอล เซนเตอร์ ชั้นที่ 15 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
4,0105559097666,บจ.เวลธ์ อินเตอร์ ดิเวลลอปเม้นท์ จำกัด,24/6/2559," 300,000,000 ",55101,ประกอบกิจกิจการโรงแรม,1 ถนนเจริญราษฎร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
5,0107559000257,บมจ.ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),2/6/2559," 300,000,000 ",22193,ประกอบการผลิตถุงยางอนามัย เพื่อจำหน่ายในประเทศ และ/หรือส่งออกไปจำหน่ายยังต่างประเทศ,1 ถนนเจริญราษฎร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
6,0105559100438,บจ.อมรพัฒนาแอสเซท จำกัด,29/6/2559," 300,000,000 ",68102,ประกอบธุรกิจพัฒนาอสังหาริมทรัพย์,78 ถนนประชาธิปไตย  แขวงบ้านพานถม เขตพระนคร กรุงเทพมหานคร 10200,,
7,0107559000346,บมจ.ศิวทรัพย์ จำกัด (มหาชน),24/6/2559," 300,000,000 ",46201,ประกอบกิจการค้า ข้าว ผลิตข้าว มันสำปะหลัง และพืชผลทางการเกษตรทุกชนิด,168/14 ถนนคู้บอน  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
8,0105559091960,บจ.อินซาฟ ภูเก็ต พันวา จำกัด,15/6/2559," 200,000,000 ",55101,ประกอบกิจการโรงแรม,28 ซอยสุขุมวิท 13 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
9,0105559091404,บจ.บลูเพย์ จำกัด,15/6/2559," 200,000,000 ",96309,ให้บริการการชำระเงินทางอิเล็กทรอนิกส์หลากหลายประเภท การให้บริการรับชำระเงินแทน,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้นที่ 16 ห้อง 1609 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
10,0105559089060,บจ.โปรเวิร์ค อินดัสตรี จำกัด,10/6/2559," 150,000,000 ",22299,การผลิตและจำหน่ายผลิตภัณฑ์พลาสติกทุกประเภท,888 ถนนหลวงแพ่ง  แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,,
