นิติบุคคลจัดตั้งเดือนกรกฎาคม  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0105559113475,บจ.สถาพร เอสเตท จำกัด,25/7/2559," 650,000,000 ",68102,ประกอบกิจการพัฒนาอสังหาริมทรัพย์,68 ถนนทรัพย์  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,,
2,0105559103551,บจ.ยูนิเวนเจอร์ แคปปิตอล จำกัด,5/7/2559," 400,000,000 ",70209,ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงาน พาณิชยกรรม อุตสาหกรรม,57 ปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 22 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
3,0105559106932,บจ.เดอะ มอลล์ ออฟ โคเรีย จำกัด,11/7/2559," 351,500,000 ",68104,จัดหาให้เช่า เช่า ถือกรรมสิทธิ์ ปรับปรุง หรือจัดการโดยประการอื่นซึ่งพื้นที่ของศูนย์การค้า ร้านอาหาร,99/6-9 อาคารศูนย์การค้าโชว์ ดีซี ถนนริมคลองบางกะปิ  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
4,0105559107866,บจ.อธินาเทค จำกัด,12/7/2559," 260,000,000 ",68102,ประกอบกิจการเกี่ยวกับการซื้อขายและการพัฒนาอสังหาริมทรัพย์,488/58 ซอยสุขุมวิท 55 (ทองหล่อ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
5,0105559115109,บจ.ดับบลิวเอชเอ เหมราช อินเตอร์เนชั่นแนล จำกัด,27/7/2559," 240,000,000 ",64202,เข้าเป็นหุ้นส่วนจำพวกจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,9 ชั้น 18 อาคารยูเอ็มทาวเวอร์ ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
6,0105559114285,บจ.ไทย จิวเวลรี่ กรู๊ป จำกัด,26/7/2559," 200,000,000 ",46900,การขายส่งสินค้าทั่วไป,620/74-75 ซอยสาธุประดิษฐ์ 44 ถนนสาธุประดิษฐ์  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
7,0105559111944,บจ.อะโทมี่ จำกัด,22/7/2559," 200,000,000 ",46109,การค้าส่งและจำหน่ายสินค้าและอุปกรณ์เครื่องใช้ภายในบ้าน รวมทั้งผลิตภัณฑ์ประเภทเครื่องสำอาง,93/1 อาคารจีพีเอฟ วิทยุ ทาวเวอร์ เอ ชั้น 16 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
8,0105559103640,บจ.ยูนิไทยออฟชอร์ จำกัด,5/7/2559," 180,000,000 ",50121,ประกอบกิจการขนส่งทางทะเลและทะเลชายฝั่ง,25 อาคารอัลม่าลิงค์ ชั้นที่ 11 ซอยชิดลม ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
9,0105559110387,บจ.เอ.ซี.ที เบเวอร์เรจ จำกัด,15/7/2559," 101,000,000 ",11049,ผลิตเครื่องดื่ม,999 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
10,0105559105553,บจ.เมซาน คอนซูมเมอร์ (ประเทศไทย) จำกัด,8/7/2559," 100,000,005 ",46900,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม,83 ชั้น 4 ถนนอำนวยสงคราม  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,,
11,0105559102554,บจ.สมุย วิพรรธน์ จำกัด,4/7/2559," 100,000,000 ",64202,ดำเนินธุรกิจเกี่ยวกับลงทุนในอสังหาริมทรัพย์ เพื่อเป็นการค้าหรือหากำไร ประกอบกิจการซื้อ ขายให้เช่า,245/3 ซอยกาญจนาภิเษก 0015  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
12,0105559115087,บจ.บ้านแสนรัก(1999) จำกัด,27/7/2559," 100,000,000 ",68101,ประกอบกิจการขายบ้านจัดสรร บ้านพร้อมที่ดิน รวมทั้งสิ่งปลูกสร้างอื่นทุกชนิด,990 ซอยสุขุมวิท 101/1 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
13,0105559113769,บจ.นิว หนานหยาง คอนสตรัคชั่น จำกัด,26/7/2559," 60,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างบ้านหรืออาคารทุกประเภท ทั้งเอกชนและรัฐบาล ตกแต่งต่อเติมบ้านอาคารทุกประเภท,80 ซอยสุภาพงษ์ 3 แยก 8 (ศรีนครินทร์ 40)  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,,
14,0105559103291,บจ.เอ็ม ที เซอร์วิส 2016 จำกัด,5/7/2559," 50,000,000 ",70209,ประกอบกิจการให้บริการด้านการสนับสนุน หรือด้านเทคโนโลยีแก่วิสาหกิจในเครือ,"231 อาคารเอสซีไอ ไลฟ์ ชั้นที่ 10,11 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330",,
15,0105559103046,บจ.อโศกสุขุมวิท จำกัด,4/7/2559," 45,000,000 ",68102,ประกอบกิจการค้า อสังหาริมทรัพย์ทุกชนิด,18 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
16,0105559113017,บจ.ห้างทอง จิบฮุย จำกัด,25/7/2559," 40,000,000 ",46492,ประกอบกิจการจำหน่ายทองแท่งและเครื่องทองรูปพรรณ,203 ถนนพาหุรัด  แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200,,
17,0105559108307,บจ.กิม แอนด์ เพ็ญ จำกัด,13/7/2559," 40,000,000 ",68103,ให้เช่าอพาร์ทเมนท์,200/16 ถนนพระรามที่ 6  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
18,0105559115117,บจ.ประมวล เพลส จำกัด,27/7/2559," 40,000,000 ",68101,ประกอบกิจการซื้อ ขาย จัดสรรที่ดินและสิ่งปลูกสร้างอาคารที่พักอาศัยเพื่อจำหน่ายหรือให้เช่าหรือเช่าซื้อ,18-20 ซอยสว่าง 5 ถนนสว่าง  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500,,
19,0105559110409,บจ.ฟอร์เอเวอร์ ซัคเซส เทคโนโลยี จำกัด,15/7/2559," 30,000,000 ",49323,ประกอบกิจการพัฒนาเทคโนโลยีบริหารจัดการระบบการขนส่ง และขนถ่ายสินค้า ทั้งทางบก ทางน้ำ ทางอากาศ,36/75 อาคารพี.เอส.ทาวเวอร์ 1 ชั้นที่ 22 ถนนสุขุมวิท 21  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
20,0105559114927,บจ.บีวีอาร์ อินเตอร์เนชั่นแนล จำกัด,27/7/2559," 30,000,000 ",14120,ประกอบกิจการโรงงานตัดเย็บเสื้อผ้าสำเร็จรูป,101/20 ซอยสวนพลู ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
21,0105559111146,บจ.เอวีเอ ซี แลนด์ ชิปปิ้ง (ประเทศไทย) จำกัด,21/7/2559," 30,000,000 ",49339,การขนส่งทางบก ธุรกิจการขนส่งสินค้า และบริการนำเข้า และส่งออกสินค้า,538 อาคารแกรนด์ ชั้นที่ 2 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
22,0105559115532,บจ.ไทยอุซุย โมลด์ จำกัด,28/7/2559," 30,000,000 ",28230,ผลิต จำหน่าย ซ่อมแซม แม่พิมพ์ ชิ้นส่วนแม่พิมพ์,138 อาคารบุญมิตร ชั้น 2 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,,
23,0105559110964,บจ.บริหารสินทรัพย์ธนทวี จำกัด,21/7/2559," 25,000,000 ",70202,ประกอบกิจการบริหารสินทรัพย์รวมทั้งกิจการอย่างอื่น,349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ห้องเลขที่ 1404 ชั้นที่ 14 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
24,0105559101698,บจ.เพรซิเดนท์ โคราคุเอ็น จำกัด,1/7/2559," 25,000,000 ",56101,ประกอบกิจการภัตตาคาร ร้านอาหารและเครื่องดื่ม,304 ถนนศรีนครินทร์  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
25,0105559106762,บจ.28 แคปปิตอล จำกัด,11/7/2559," 20,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดชอบในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัด,299 ซอยสุขุมวิท 31  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
26,0105559104581,บจ.ชลบุรี คลีน เอ็นเนอร์ยี่ จำกัด,7/7/2559," 20,000,000 ",35101,การผลิต และการส่งไฟฟ้า,9 ชั้น 18 อาคารยูเอ็มทาวเวอร์ ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
27,0105559105219,บจ.สิทธิชาญชัย จำกัด,7/7/2559," 20,000,000 ",49209,ประกอบกิจการขนส่งผู้โดยสารด้วยรถโดยสารประจำทาง และเข้าร่วมทุน หรือเข้าร่วมประมูล,4/960 หมู่ที่ 8  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
28,0105559110166,บจ.ยูเอส มอเตอร์ไบค์ จำกัด,15/7/2559," 20,000,000 ",45401,ประกอบกิจการค้ารถจักรยานยนต์ รถจักรยานยนต์บิ๊กไบค์ รถยนต์ใช้แล้ว อะไหล่,2222/9 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
29,0105559108960,บจ.บลูมาห์เอ็นจิเนียริ่ง จำกัด,14/7/2559," 15,000,000 ",46599,ประกอบกิจการค้ารับเหมาติดตั้งและซ่อมแซมเครื่องจักรกล,21/15 ซอยนวมินทร์ 133  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
30,0105559104174,บจ.ไทยไทย มาร์เก็ต คอร์ป จำกัด,6/7/2559," 15,000,000 ",68104,ประกอบกิจการให้เช่าอสังหาริมทรัพย์,99/6-9 ถนนริมคลองบางกะปิ  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
31,0105559110701,บจ.แพทไลท์ (ประเทศไทย) จำกัด,15/7/2559," 12,000,000 ",45301,นำเข้า ส่งออก จัดหา จัดซื้อ ชิ้นส่วนอุปกรณ์อุตสาหกรรมอิเล็คทรอนิค สินค้าอุตสาหกรรมยานยนต์,444 อาคารโอลิมเปียไทยทาวเวอร์ ชั้นที่ 15 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
