นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0107559000184,บมจ.ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน),2/5/2559," 8,400,000,000 ",35101,ประกอบกิจการ โรงงานผลิตพลังงานไฟฟ้าทุกประเภท และสิ่งอันเป็นวัสดุอุปกรณ์ของไฟฟ้า ทั้งในและนอกประเทศ,26/56 ถนนจันทน์ตัดใหม่  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
2,0105559072515,บจ.วิภาราม นครสวรรค์ จำกัด,11/5/2559," 800,000,000 ",86101,ประกอบกิจการโรงพยาบาลเอกชน สถานพยาบาล รับรักษาคนไข้และผู้ป่วยเจ็บ,2677 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
3,0107559000249,บมจ.บูทิค คอร์ปอเรชั่น จำกัด (มหาชน),27/5/2559," 507,000,000 ",68201,ประกอบกิจการสร้าง บริหาร และจำหน่าย หรือให้เช่า ที่อยู่อาศัย อาคาร โรงแรม อพาร์ทเมนท์และจัดสรรที่ดิน,170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้นที่ 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
4,0107559000206,บมจ.เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),11/5/2559," 500,000,000 ",46411,ประกอบกิจการค้าผ้า ผ้าทอ เครื่องแต่งกาย เครื่องประดับกาย เครื่องหนัง รองเท้า กระเป๋า,991 อาคารเอฟเอ็น บิวดิ้ง ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
5,0107559000231,บมจ.อาม่า มารีน จำกัด (มหาชน),18/5/2559," 215,800,000 ",49323,ประกอบกิจการขนส่ง ขนถ่ายสินค้า โดยเรือทะเล ทั้งภายในและต่างประเทศ,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 33 ทาวเวอร์เอ ห้องเลขที่ TNA02 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
6,0107559000192,บมจ.น้อมจิตต์ อินคอร์เปอเรชั่น จำกัด (มหาชน),10/5/2559," 200,000,000 ",47190,ประกอบกิจการห้างสรรพสินค้า ศูนย์การค้า ศูนย์แสดงสินค้า,3105 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
7,0107559000214,บมจ.เมกาเคม (ประเทศไทย) จำกัด (มหาชน),12/5/2559," 200,000,000 ",71201,ประกอบกิจการบริการรับวิเคราะห์ และตรวจสอบเคมี และเคมีภัณฑ์ทุกชนิด และออกใบรับรองผลการวิเคราะห์,25 ซอยฉลองกรุง 31 ถนนฉลองกรุง นิคมอุตสาหกรรมลาดกระบัง ซอย จี 1/9  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520
8,0107559000222,บมจ.เกรท ดิสทริบิวเทอร์  จำกัด (มหาชน),13/5/2559," 170,000,000 ",68102,ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการ โดยประการอื่น ตลอดจนดอกผล,337 ซอยประชาสันติ ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
9,0105559076260,บจ.แมน ฟู๊ด โปรดักส์ จำกัด,18/5/2559," 100,000,000 ",10799,ประกอบกิจการผลิตและจำหน่ายอาหาร,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
10,0105559078530,บจ.เอ็นเอ็มซี อินเตอร์เนชั่นแนล จำกัด,23/5/2559," 100,000,000 ",85499,ประกอบกิจการเปิดสถานการศึกษา,674 ซอยรัชดานิเวศน์  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
